Pcode,Town,District,dis_code,Province,Geo_x,Geo_y,B,S,Ignore_prov,Ignore_district,Ignore_description
1685,HALFWAY HOUSE,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-25.9886825,28.1263902,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1686,VORNA VALLEY,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.0097999,28.11496,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1687,NOORDWYK,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-25.952683,28.123148,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1688,RABIE RIDGE,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-25.76338919,28.10998736,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1689,IVORY PARK,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.011787,28.178188,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1690,EBONY PARK,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.0006289,28.1746164,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1691,VUSIMUZI,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-25.9853026,28.2204987,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1692,MIDSTREAM ESTATE,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-25.91385,28.20386,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1693,GARATSE,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.2707593,28.1122679,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1694,PHOMOLONG,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.015352,28.093467,Y,,Gauteng,JHB,City of Johannesburg Metropolitan Municipality,DIS,,Location:Phomolong Box Code:1694 Area:Midrand Municipality:Ekurhuleni State:Gauteng Country:South Af
1698,SYBELLA,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-25.9875,28.20389,Y,,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1700,MARAISBURG,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.17756,27.93079,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
