Pcode,Town,District,dis_code,Province,Geo_x,Geo_y,B,S,Ignore_prov,Ignore_district,Ignore_description
0001,PRETORIA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0002,BEREA PARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-26.1884649,28.056813,,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0003,UNISA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7672222,28.1994444,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0004,PRETORIA CITY COUNCIL,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0005,ALKANTRANT,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.763304,28.27935,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0006,ATTERIDGEVILLE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.774474,28.082677,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0007,ARCADIA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.74702,28.20762,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0008,ATTERIDGEVILLE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7730891,28.0830047,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0009,BON ACCORD,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.6424766,28.1974006,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0010,CONSTANTIA PARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.8028109,28.287103,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0011,BROOKLYN,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.769601,28.236117,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0012,TELKOM PLACE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0014,CLUBVIEW,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.8387366,28.1773857,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0016,COR DELFOS,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0017,DOORNPOORT,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.645059,28.226093,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0018,DANVILLE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.741436,28.128511,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0019,DASPOORT,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7156255,28.1538601,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0020,PERSEQUOR PARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.745458,28.274367,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0021,EERSTERUS,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.715432,28.314042,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0022,EERSTERUS,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.705664,28.3140488,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0023,ERASMIA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.8119039,28.092042,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0024,FOURIESRUS,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0025,LOTUS GARDENS,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.751687,28.082834,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0026,LAEZONIA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.90695,28.01322,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0027,GROENKLOOF,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7796476,28.2221796,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0028,HATFIELD,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7447139,28.230459,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0029,PHILIP NEL PARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.739731,28.139964,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0030,HERCULES,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.71916,28.14903,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0031,GEZINA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.725121,28.207167,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0032,ELANDSPOORT,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.744782,28.110975,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0033,WONDERBOOM POORT,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0035,DERDEPOORTPARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.683959,28.3042281,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0036,ZWAVELPOORT,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.8287373,28.3673093,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0037,LAUDIUM,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.791289,28.098222,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0039,LYNN EAST,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.713856,28.2883005,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0040,LYNNWOOD,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.755286,28.262906,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0041,DIE WILGERS,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.763986,28.308113,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0042,GARSFONTEIN,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.790041,28.297597,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0043,FAERIE GLEN,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7832491,28.2910241,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0044,MORELETAPARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.821438,28.289351,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0045,PIERRE VAN RYNEVELD,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.841351,28.233544,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0046,CENTURION,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.868239,28.244575,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0047,ELARDUSPARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.833495,28.264822,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0048,ERASMUSKLOOF EXT 3,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.810967,28.263072,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0049,NEWLANDS,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.794605,28.267251,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0050,WAPADRAND,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.776042,28.331329,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0051,ZWARTKOP,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.859185,28.177028,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0052,UIF,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0053,ONTVANGER VAN INKOMSTE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0054,SILVER LAKES,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.769287,28.367523,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0055,SUIDERBERG,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.69421,28.1432,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0056,TIEGERPOORT,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.851955,28.4165959,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0057,WIERDAPARK SOUTH,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.8604986,28.1444516,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0058,QUAGGA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0059,MOOIKLOOF,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.8406047,28.3365524,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0060,GARSFONTEIN EAST,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.792874,28.300688,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0061,THE REEDS,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.8934292,28.1367099,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0062,IRENE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.864408,28.219175,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0063,MENLYN,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.782872,28.278748,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0065,WATERKLOOF HEIGHTS,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.792896,28.252545,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0066,ANNLIN,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.682249,28.198051,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0067,HIGHVELD PARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.868239,28.244575,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0068,KAMEELDRIF WEST,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.65626,28.33741,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0070,KWAGGASRAND,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.756997,28.12131,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0071,PRETORIA SHOW,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0072,WOODLANDS,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.908615,28.140185,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0074,CORPORATE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0075,BROOKLYN SQUARE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7629928,28.2418808,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0076,WOODHILL,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.820199,28.31177,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0077,MENLYN CENTRAL,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0078,PRETORIA SOUTH,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0079,E-FREEDOM SAVE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0080,BLOED STRAAT WINKELSENTRUM,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0081,ALKANTRANT,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7630147,28.2793263,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0082,ANDEON EXT 15,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0083,ARCADIA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7452658,28.2029523,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0084,CAPITAL PARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7272693,28.1854042,,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0086,CIPRO,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0087,INNOVATION HUB,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0089,ATTERIDGEVILLE EAST,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7730891,28.0830047,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0090,MAHUBE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0095,WILLOW ACRES,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.76744,28.359938,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0096,BLUE VALLEY GHOLF LANDGOED,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0097,MORELETA VILLAGE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0100,CONSTANTIA PARK EXT 1,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.80312,28.28666,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0101,MAMELODI WEST,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7192079,28.3372271,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0102,MENLO PARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.764054,28.255393,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0103,MEYERSPARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.74142,28.301953,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0105,MONUMENTPARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.798806,28.225314,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0106,FIELD POST OFFICE 3,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0107,BATHO PLAZA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.5292434,28.0909946,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0108,SOSHANGUVE BLOCK B1,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.5292434,28.0909946,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0109,RASLOUW,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.8681519,28.133235,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0110,ONDERSTEPOORT,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.6517374,28.1812191,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0112,RETHABILE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7170166,28.4110799,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0116,PRETORIA NORTH,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.675422,28.171361,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0117,PRETORIA WEST,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.743785,28.163876,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0118,KARENPARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.670448,28.112785,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0119,CANDLEWOOD,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.864408,28.219175,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0120,PYRAMID,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.58436,28.23302,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0121,QUEENSWOOD,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.733636,28.251594,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0122,MAMELODI EXT 2,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.701799,28.422152,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0124,DENNEBOOM TAXI RANK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0125,SAULSVILLE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.777633,28.066901,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0126,THE TRAMSHED,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7528344,28.1916498,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0127,SILVERTON,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.732238,28.284715,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0128,SIMFONIE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0129,SINOVILLE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.678249,28.218847,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0130,CELTIS RIDGE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0131,HEUWELSIG ESTATE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.868239,28.244575,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0132,SUNNYSIDE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.755988,28.206309,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0133,IRENE FARM VILLAGE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.852169,28.244611,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0134,TOTIUSDAL,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.704443,28.241907,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0135,WAVERLEY,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.702086,28.242322,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0137,VALHALLA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.815782,28.151384,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0138,WONDERBOOM JUNCTION,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0139,VENNING PARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0140,LYTTELTON MANOR,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.8328199,28.19606,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0141,LEBANON,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7417895,28.179792,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0142,BELLE OMBRE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.76823,28.15567,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0143,THABA TSHWANE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.791194,28.1593185,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0144,ECO BOULEVARD,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0145,WATERKLOOF,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.777802,28.245647,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0146,WEST PARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.760249,28.127369,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0148,UNISARAND,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0149,WIERDAPARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.857607,28.142779,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0150,MAGALIESKRUIN,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.6866549,28.231332,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0151,MONTANA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.6795009,28.233874,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0152,MONTANA GARDENS EXT 55,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.685745,28.259955,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0153,WINGATE PARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.827738,28.270736,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0154,ROOIHUISKRAAL,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.894554,28.142782,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0155,THERESAPARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.665123,28.146303,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0156,NINAPARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.67941,28.14933,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0157,THATCHFIELD,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.901421,28.111851,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0158,THE REEDS,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.903614,28.133109,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0159,MONTANAPARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.685745,28.259955,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0160,DENNEBOOM,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7539901,28.0735759,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0161,MAROELANA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.777497,28.261629,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0163,DIE HOEWES,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.84654,28.19464,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0164,SOSHANGUVE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.5292434,28.0909946,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0165,ERASMUSRAND,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.809688,28.252514,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0166,ELDOPARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.843144,28.14096,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0167,MORELETA PLAZA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.815199,28.278708,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0168,SOSHANGUVE WEST,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.55138365,28.08899762,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0169,HIGHVELD,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.8751874,28.1921863,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0170,MANDOR,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.732238,28.284715,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0171,ELDORAIGNE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.841451,28.151385,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0172,HENNOPSPARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.865148,28.170742,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0173,HEUWELOORD,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.887308,28.110013,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0174,RIETVALLEIRAND,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.8441126,28.2582363,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0175,OLIEVENHOUTBOSCH,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.92224,28.10165,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0176,LYTTELTON SOUTH,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.868239,28.244575,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0177,MAMELODI EAST,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7182407,28.3427952,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0178,CORNWALL HILL,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.873281,28.242899,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0179,RIETFONTEIN SOUTH,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0180,WILLOW WAY,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7654393,28.3170827,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0181,BAILEYS MUCKLENEUK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7636873,28.224885,,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0182,AKASIA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0183,ANDEON,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7077709,28.1166569,,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0184,LA MONTAGNE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.751442,28.319424,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0185,GLEN LAURISTON,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.8262333,28.1495712,,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
