Location,Street_code,Box_code,Area,Municipality,Province,Country,Lat,Lon
Fairview,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1097276,26.2236736
Fauna,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1692257,26.190591
Faunasig,9301,9325,Bloemfontein,Motheo,Free State,South Africa,-29.1692257,26.190591
Ferreira,9301,9325,Bloemfontein,Motheo,Free State,South Africa,-29.1685559,26.1973046
Fichardt Park,9301,9317,Bloemfontein,Motheo,Free State,South Africa,-29.1430316,26.1802531
Fichardtpark,9301,9317,Bloemfontein,Motheo,Free State,South Africa,-29.1430316,26.1802531
Fleurdal,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1551052,26.1935446
Flora,-------,9301,Bloemfontein,Motheo,Free State,South Africa,-29.1871737,26.1670309
Freedom Square,9323,9301,Bloemfontein,Motheo,Free State,South Africa,-29.1767836,26.2511327
Gardenia Park,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1297191,26.1728687
Generaal De Wet,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1434895,26.2038819
Grasland,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1656155,26.304279
Grassland,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1656155,26.304279
Groenvlei,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.0644486,26.1684379
Hamilton,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1655422,26.2275085
Heidedal,9301,9306,Bloemfontein,Motheo,Free State,South Africa,-29.1543873,26.2806599
Heliconhoogte,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.085214,26.1595761
Helikonhoogte,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.085214,26.1595761
Heuwelsig,9301,9332,Bloemfontein,Motheo,Free State,South Africa,-29.0809395,26.1994517
Heuwilsig,9301,9332,Bloemfontein,Motheo,Free State,South Africa,-29.0809395,26.1994517
Hillsboro,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.0772155,26.2075737
Hillside,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.098271,26.2260477
Hilton,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1127861,26.23121
Hospitaalpark,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1382831,26.1964982
Industrial Area,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.15889,26.22722
Industriele Gebied,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.085214,26.1595761
Kagisanong Fase 3,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.183333,26.2333329
Kagisanong Phase 3,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.183333,26.2333329
Kiepersol,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.0821162,26.2503376
Kwaggafontein,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.12916349999999,26.1498776
Lakeview,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1627219,26.3308478
Langenhovenpark,9301,9330,Bloemfontein,Motheo,Free State,South Africa,-29.0993411,26.1566221
Lourier Park,9301,9301,Bloemfontein,Motheo,Free State,South Africa,-29.1887138,26.1684379
Mafora,9323,9301,Bloemfontein,Motheo,Free State,South Africa,-29.18155,26.2252209
Naval View,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.0966898,26.2431072
Navalsig,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.107847,26.2326039
New East End,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.12907,26.25767
Noordhoek,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1020011,26.2407974
Opkoms,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.15264,26.2528599
Oranjesig,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1302139,26.2156955
Park West,9301,9305,Bloemfontein,Motheo,Free State,South Africa,-29.1093823,26.1861605
Park-Wes,9301,9305,Bloemfontein,Motheo,Free State,South Africa,-29.1093823,26.1861605
Pellissier,9301,9322,Bloemfontein,Motheo,Free State,South Africa,-29.15630579999999,26.1684379
Pentagonpark,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.0772527,26.2267702
Spitskop,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.0868246,26.1388973
Uitsig,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.160929,26.1979749
Universitas,9301,9321,Bloemfontein,Motheo,Free State,South Africa,-29.1172543,26.1743456
Universitas Ridge,9301,9321,Bloemfontein,Motheo,Free State,South Africa,-29.0960112,26.1710734
Universitas Wes,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.12262,26.16764
Universitas West,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1083593,26.1803685
Universitas-wes,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.12262,26.16764
Universitasrif,9301,9321,Bloemfontein,Motheo,Free State,South Africa,-29.0987747,26.1683798
Universiteit Van Bloemfontein,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1083593,26.1803685
University of Bloemfontein,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1083593,26.1803685
Vista Park Ext 2,9301,9312,Bloemfontein,Motheo,Free State,South Africa,-29.15227519999999,26.2056492
Vistapark Uit 2,9301,9312,Bloemfontein,Motheo,Free State,South Africa,-29.15227519999999,26.2056492
Waverley,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.0965672,26.221602
Westdene,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1061008,26.2083121
Wilgehof,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1297568,26.1920678
Willows,9301,9320,Bloemfontein,Motheo,Free State,South Africa,-29.12188339999999,26.2038819
Woodlands,9301,9301,Bloemfontein,Motheo,Free State,South Africa,-29.0475855,26.1816258
Noordstad,9302,9302,Bloemfontein,Motheo,Free State,South Africa,-29.0712944,26.2330849
Kenworth,-------,9303,Bloemfontein,Motheo,Free State,South Africa,-29.1689322,26.2366514
Arboretum,9301,9305,Bloemfontein,Motheo,Free State,South Africa,-29.1036289,26.2201254
Park West,9301,9305,Bloemfontein,Motheo,Free State,South Africa,-29.1093823,26.1861605
Park-Wes,9301,9305,Bloemfontein,Motheo,Free State,South Africa,-29.1093823,26.1861605
Bloemside,9306,9306,Bloemfontein,Motheo,Free State,South Africa,-29.1589687,26.2657713
Heidedal,9301,9306,Bloemfontein,Motheo,Free State,South Africa,-29.1543873,26.2806599
Batho,9323,9307,Bloemfontein,Motheo,Free State,South Africa,-29.1385414,26.2275085
Cape Stands,9307,-------,Mangaung,Motheo,Free State,South Africa,-29.085214,26.1595761
Mangaung,9323,9307,Bloemfontein,Motheo,Free State,South Africa,-29.085214,26.1595761
Kagisanong,9323,9309,Bloemfontein,Motheo,Free State,South Africa,-29.183333,26.2333329
Kagiso,9323,9309,Bloemfontein,Motheo,Free State,South Africa,-29.113675,26.219306
Phahameng Ext 8,9323,9309,Kagisanong,Xhariep,Free State,South Africa,-29.1560061,26.2407974
Phahameng Uit 8,9323,9309,Kagisanong,Xhariep,Free State,South Africa,-29.1560061,26.2407974
Rocklands,9323,9309,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
Danhof,9301,9310,Bloemfontein,Motheo,Free State,South Africa,-29.0885939,26.2135359
Drusana,-------,9311,Bloemfontein,Motheo,Free State,South Africa,-29.085214,26.1595761
Ehrlich Park,9301,9312,Bloemfontein,Motheo,Free State,South Africa,-29.1792121,26.2009284
Ehrlichpark,9301,9312,Bloemfontein,Motheo,Free State,South Africa,-29.1792121,26.2009284
Vista Park,9312,9312,Bloemfontein,Motheo,Free State,South Africa,-29.15227519999999,26.2056492
Vista Park Ext 2,9301,9312,Bloemfontein,Motheo,Free State,South Africa,-29.15227519999999,26.2056492
Vistapark,9312,9312,Bloemfontein,Motheo,Free State,South Africa,-29.15227519999999,26.2056492
Vistapark Uit 2,9301,9312,Bloemfontein,Motheo,Free State,South Africa,-29.15227519999999,26.2056492
Exton Road,-------,9313,Bloemfontein,Motheo,Free State,South Africa,-29.102699,26.2415399
Extonweg,-------,9313,Bloemfontein,Motheo,Free State,South Africa,-29.0965742,26.2468351
Ga-Sehunelo,9323,9315,Bloemfontein,Motheo,Free State,South Africa,-29.1510609,26.2424215
Gasehunelo,9323,9315,Bloemfontein,Motheo,Free State,South Africa,-29.1510609,26.2424215
Fichardt Park,9301,9317,Bloemfontein,Motheo,Free State,South Africa,-29.1430316,26.1802531
Fichardtpark,9301,9317,Bloemfontein,Motheo,Free State,South Africa,-29.1430316,26.1802531
Willows,9301,9320,Bloemfontein,Motheo,Free State,South Africa,-29.12188339999999,26.2038819
Universitas,9301,9321,Bloemfontein,Motheo,Free State,South Africa,-29.1172543,26.1743456
Universitas Ridge,9301,9321,Bloemfontein,Motheo,Free State,South Africa,-29.0960112,26.1710734
Universitasrif,9301,9321,Bloemfontein,Motheo,Free State,South Africa,-29.0987747,26.1683798
Pellissier,9301,9322,Bloemfontein,Motheo,Free State,South Africa,-29.15630579999999,26.1684379
Albert Luthuli,-------,9323,Bloemfontein,Motheo,Free State,South Africa,-29.17527,26.23854
Batho,9323,9307,Bloemfontein,Motheo,Free State,South Africa,-29.1385414,26.2275085
Bloemanda,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
Bloemanda Fase 1,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
Bloemanda Fase 2,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
Bloemanda Fase 3,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
Bloemanda Phase 1,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
Bloemanda Phase 2,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
Bloemanda Phase 3,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
Bloemside 2,9323,-------,Bloemfontein,Motheo,Free State,South Africa,-29.162467,26.2614676
Blomanda,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
Blomanda Fase 1,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
Blomanda Fase 2,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
