Location,Street_code,Box_code,Area,Municipality,Province,Country,Lat,Lon
Madadeni N,2951,2951,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Madadeni R,2951,2951,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Madadeni Section 1,2951,2951,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Madadeni Section 2,2951,2951,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Madadeni Section 3,2951,2951,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.781334,30.044485
Madadeni Section 4,2951,2957,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Madadeni Section 6,2951,2951,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Madadeni Section 7,2951,2951,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.781334,30.044485
Madadeni Section F,2951,2951,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.781334,30.044485
Madadeni Seksie 1,2951,2951,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Madadeni Seksie 2,2951,2951,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Madadeni Seksie 3,2951,2951,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Madadeni Seksie 4,2951,2957,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Madadeni Seksie 6,2951,2951,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Madadeni Seksie 7,2951,2951,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Massondale,-------,2951,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Blaaubosch,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.783333,30.1
Blaaubosch 2,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.783333,30.1
Black Bank,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Blackbank,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Dicks,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Eastbourne Farm,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7887419,30.1303193
Emoyeni,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-28.9583167,29.5629662
Fulathela Inverness,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7862417,30.1776926
Greenknock,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Greenknok,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Grootgeluk,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Johnstone Farm,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Mafahlawane,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Magadlela,-------,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Mahalibhomemi,-------,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Naas Farm,-------,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Naas Plaas,-------,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Nkanini,2952,2952,Osizweni,uThungulu,KwaZulu-Natal,South Africa,-31.5341057,28.7088671
Osizweni,-------,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni,2952,2952,Newcastle,Umkhanyakude,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni Saal 5,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni Saal 9,-------,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni Section D,2952,2952,Newcastle,Umkhanyakude,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni Section E,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni Seksie D,2952,2952,Newcastle,Umkhanyakude,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni Seksie E,2952,2952,Newcastle,Umkhanyakude,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni Ward 5,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni Ward 6,2952,2952,Newcastle,Umkhanyakude,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni Ward 8,2952,2952,Newcastle,Umkhanyakude,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni Ward 9,-------,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni Wyk 5,2952,2952,Newcastle,Umkhanyakude,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni Wyk 6,2952,2952,Newcastle,Umkhanyakude,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni Wyk 8,2952,2952,Newcastle,Umkhanyakude,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Osizweni Wyk 9,-------,2952,Newcastle,Umkhanyakude,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Spookmill,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Springboklaagte,2952,2952,Osizweni,Amajuba,KwaZulu-Natal,South Africa,-27.7781081,30.161817
Ferrax,-------,2953,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7138429,29.9971769
Arbor Park,-------,2954,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7706924,29.94803479999999
Fairleigh,-------,2954,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7798279,29.9263488
Amajuba Park,-------,2955,Amajuba,Amajuba,KwaZulu-Natal,South Africa,-27.7293685,29.9653811
Amajuba Park,2940,2955,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7293685,29.9653811
Hutten Heights,2956,2956,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7336571,29.924903
Huttenhoogte,2956,2956,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7404499,29.9288768
Ingqayizivele,2957,2957,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Madadeni Section 4,2951,2957,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Madadeni Seksie 4,2951,2957,Madadeni,Amajuba,KwaZulu-Natal,South Africa,-27.7507512,30.0708566
Lennoxton,-------,2958,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7682976,29.9133356
Enjabulweni,-------,2959,Enjabulweni,Amajuba,KwaZulu-Natal,South Africa,-28.93603,31.67291999999999
Sizakancane,-------,2960,Sizakancane,Amajuba,KwaZulu-Natal,South Africa,-29.760305,30.997646
Memel,-------,2970,Memel,Amajuba,KwaZulu-Natal,South Africa,-27.6564602,29.53977059999999
Zamani,-------,2970,Zamani,Amajuba,KwaZulu-Natal,South Africa,-28.7304834,29.3511681
Utrecht,-------,2980,Utrecht,Amajuba,KwaZulu-Natal,South Africa,-27.6711693,30.3089541
Welgedacht,2980,-------,Utrecht,Amajuba,KwaZulu-Natal,South Africa,-26.2120561,28.5009938
White City,-------,2980,Utrecht,Ugu,KwaZulu-Natal,South Africa,-27.9077885,31.6696603
Coopers,-------,3000,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-28.1649792,30.2343141
Dosset,-------,3000,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-28.1649792,30.2343141
Dundee,-------,3000,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-28.1649792,30.2343141
Dundee Industrial,3000,-------,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-28.1649792,30.2343141
Esibongile,3000,3000,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-28.1837568,30.23252099999999
Eventide,3000,3003,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-28.160154,30.237366
Flint,-------,3000,Dundee,Amajuba,KwaZulu-Natal,South Africa,-27.9250426,30.2455033
Forestdale,3000,-------,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-28.1649792,30.2343141
Helpmekaar,3000,-------,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-28.433333,30.416667
Ngisana,-------,3000,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-28.0469,30.2048
Peacevale,-------,3000,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-29.7725186,30.703379
Peacevale Ext 24,3000,-------,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-29.7725186,30.703379
Peacevale Uit 24,3000,-------,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-29.7725186,30.703379
Rutland,-------,3000,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-27.9459475,30.2137665
Sibongile,3000,3000,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-28.1837568,30.23252099999999
Kingsley,-------,3002,Vryheid,Amajuba,KwaZulu-Natal,South Africa,-27.932584,30.5307881
Eventide,3000,3003,Dundee,Umzinyathi,KwaZulu-Natal,South Africa,-28.160154,30.237366
