10154,Y,SITE C                      ,KHAYELITSA                  ,MOBENI                      ,KHAYELITSA                  ,4092,-29.91,30.87,Kwazulu Natal               
102938,Y,SHOP 6                      ,DROMMEDARIS                 ,OLIFANTSFONTEIN             ,BROOKLYN                    ,1666,-25.95,28.14,Gauteng                     
104671,Y,1 HOOD ROAD                 ,43 RETREAT                  ,RETREAT                     ,ATHLONE                     ,7945,-33.96,18.50,Western Cape                
105015,Y,14 BARON VAN RHEEDE STREET  ,OUDTSHOORN                  ,                            ,OUDTSHOORN                  ,6625,-33.59,22.20,Western Cape                
105422,Y,HOUSE 177 MASHIATHEBE SECTIO,MAKOTOPONG                  ,                            ,POTGIETERSRUS               ,600,-24.17,29.01,Limpopo                     
105708,Y,68 KASSELSVLEI ROAD         ,BELLVILLE SOUTH             ,BELLVILLE                   ,BELLVILLE SOUTH             ,7530,-33.91,18.64,Western Cape                
105767,Y,MEDIHOUSE                   ,12 KING SHAKA ROAD          ,STANGER                     ,STANGER                     ,4450,-29.33,31.30,Kwazulu Natal               
106968,Y,214 VOORTREKKER ROAD        ,KRAAIFONTEIN                ,KHAYELITSHA                 ,KHAYELITSHA                 ,7784,-34.03,18.65,Western Cape                
107409,Y,SHOP NO 4 FOODLAND CENTRE   ,CNR WELTEVREDEN and GLADIATOR ,LANSDOWNE                   ,MITCHELLS PLAIN             ,7780,-34.01,18.63,Western Cape                
107476,Y,THE RIVERSIDE CENTRE        ,OFFICE NO 4  CNR MAIN and BELM,                            ,MILNERTON                   ,7435,-33.84,18.51,Western Cape                
108065,Y,162 MERRIMAN AVENUE         ,BERGZIGHT CENTRE            ,DENNESIG                    ,STELLENBOSCH                ,7601,-33.86,18.66,Western Cape                
110159,Y,45 RAY STREET               ,MACASSAR                    ,SOMERSET WEST           ,SOMERSET WEST           ,7130,-34.08,18.85,Western Cape                
110493,Y,WILLOWMEAD MEDICAL CENTRE   ,88 KROMBOOM ROAD            ,LANSDOWNE                   ,LANSDOWNE                   ,7780,-33.99,18.49,Western Cape                
111589,Y,2 HOOF STREET               ,GRABOUW                     ,                            ,GRABOUW                     ,7160,-34.15,19.01,Western Cape                
113379,Y,33 WALLFLOWER STREET        ,LENTEGEUR                   ,                            ,GATESVILLE                  ,7766,-33.97,18.53,Western Cape                
113492,Y,134  VOORTREK STREET        ,SWELLENDAM                  ,                            ,SWELLENDAM                  ,6740,-34.02,20.43,Western Cape                
113565,Y,34 BOUNDARY ROAD            ,RETREAT                     ,                            ,RETREAT                     ,7945,-34.05,18.47,Western Cape                
114006,Y,1 MEDICAL CENTRE            ,69 FAIRBAIRN STREET         ,                            ,WORCESTER                   ,6850,-33.64,19.44,Western Cape                
114405,Y,18 HAZEL ROAD               ,RYLANDS ESTATE              ,                            ,GATESVILLE                  ,7766,-33.97,18.53,Western Cape                
115118,Y,1 RUBY ROAD                 ,FAIRDALE                    ,EERSTE RIVER         ,EERSTE RIVER         ,7100,-34.01,18.72,Western Cape                
115339,Y,8 MAIN STREET               ,53 MAOEILA STREET           ,                            ,MTHATHA                     ,5099,-31.58,28.78,Eastern Cape                
115800,Y,123 MAIN ROAD               ,FIRST FLOOR                 ,                            ,WYNBERG                     ,7800,-34.01,18.47,Western Cape                
115819,Y,123 MAIN ROAD               ,WYNBERG                     ,PLUMSTEAD                   ,WYNBERG                     ,7800,-34.01,18.47,Western Cape                
116246,Y,48 PRETORIUS STREET         ,NYLSTROOM                   ,                            ,ELARDUSPARK                 ,47,-25.83,28.25,Gauteng                     
117102,Y,SHOP 11 A  IPIC CENTRE      ,SONSTRAAL VERDI BLVD AND,DURBANVILLE                 ,DURBANVILLE                 ,7550,-33.83,18.64,Western Cape                
118133,Y,CORNER OF VERSTER and DE VILLI,WAMAKERSPLEIN               ,HUGUENOT            ,HUGUENOT            ,7646,-33.72,18.97,Western Cape                
118478,Y,37 MATROOSBERG CRESCENT     ,GREENFIELDS                 ,KUILS RIVER          ,KUILS RIVER          ,7580,-33.92,18.69,Western Cape                
119687,Y,NEL and ROTHERY STREET    ,NELSPRUIT                   ,                            ,NELSPRUIT                   ,1200,-25.47,30.97,Mpumalanga                  
119776,Y,24 WASHINGTON ROAD          ,OTTO DU PLESSIS DRIVE       ,LANGA                       ,CAPE TOWN                   ,7455,-33.96,18.59,Western Cape                
122246,Y,1 JOHN MONTAGUE CENTRE      ,MONTAGUE GARDENS            ,MILNERTON                   ,MILNERTON                   ,7441,-33.84,18.51,Western Cape                
123919,Y,UNIT GF02  OMNIPLACE        ,24 BELLA ROSA STREET        ,BELLVILLE                   ,BELLVILLE                   ,7530,-33.88,18.66,Western Cape                
123919,Y,UNIT GF02 OMNIPLACE        ,24 BELLA ROSA STREET        ,BELLVILLE                   ,BELLVILLE                   ,7530,-33.88,18.66,Western Cape                
124214,Y,45 LONG STREET              ,BREDASDORP                  ,                            ,BREDASDORP                  ,7280,-34.53,20.04,Western Cape                
124702,Y,MAIN ROAD MEDI-CENTER       ,CONER MAIN ROAD AND VAN DER ,SOMERSET WEST           ,SOMERSET WEST               ,7130,-34.07,18.84,Western Cape                
124931,Y,MEDICROSS FISH HOEK         ,23 FIFTH AVENUE             ,                            ,FISH HOEK            ,7975,-34.13,18.42,Western Cape                
125512,Y,28 NEW STREET               ,SOMERSET WEST               ,                            ,SOMERSET WEST           ,7129,-34.08,18.85,Western Cape                
127000,Y,MAIN STREET                 ,OLD MUTUAL BUILDING         ,                            ,MOUNT FRERE                 ,5090,-30.90,28.99,Eastern Cape                
