s_doctor,type,p_address_1 ,p_address_2 , gis_name,gis_post_code, x_dd , y_dd ,gis_p_prov
5801443,B,ALEXANDRA ROAD              ,PINELANDS                   ,MAITLAND                    ',7405,18.53,-33.92,Western Cape                '
5802881,B,10 BLANCKENBERG STREET      ,BELLVILLE                   ,BELLVILLE                   ',7530,18.66,-33.88,Western Cape                '
5806860,B,BROADWAY ROAD               ,BELLVILLE                   ,BELLVILLE                   ',7530,18.66,-33.88,Western Cape                '
5807069,B,6TH FLR LIBERTAS CNTR       ,VORTREKKER RD               ,GOODWOOD                    ',7460,18.55,-33.91,Western Cape                '
5807697,B,3 DERWENT RD                ,GARDENS                     ,CAPE TOWN                   ',8001,18.42,-33.92,Western Cape                '
5807778,B,CORNER OF DF MALAN STREET   ,AND RUA BARTHOLOMEU DIAS PLA,CAPE TOWN                   ',8001,18.42,-33.92,Western Cape                '
5807840,B,MEDICAL CENTRE              ,MAIN ROAD                   ,CLAREMONT                   ',7708,18.47,-33.98,Western Cape                '
5807905,B,CNR YORK STREET & GLOUCESTER,GEORGE                      ,GEORGE                      ',6529,22.46,-33.96,Western Cape                '
5807913,B,ROTHSCHILD BOULEVARD        ,PANORAMA                    ,PAROW                       ',7500,18.60,-33.90,Western Cape                '
5807948,B,SYMPHONY WALK               ,TOWN CENTRE                 ,CAPE TOWN                   ',7785,18.42,-33.92,Western Cape                '
5807999,B,BURNHAM ROAD                ,PLUMSTEAD                   ,CAPE TOWN                   ',7800,18.42,-33.92,Western Cape                '
5808006,B,67 FAIRBAIRN STREET         ,WORCESTER                   ,WORCESTER                   ',6849,19.44,-33.64,Western Cape                '
5808022,B,FIRST FLOOR                 ,PICK & PAY BUILDING         ,CLAREMONT                   ',7708,18.47,-33.98,Western Cape                '
5808030,B,MAIN ROAD                   ,SOMERSET WEST               ,SOMERSET WEST               ',7130,18.85,-34.08,Western Cape                '
5808251,B,BERLYN STREET               ,NOORDER-PAARL               ,HUGUENOT                    ',7646,18.97,-33.72,Western Cape                '
5808332,B,                            ,VLAEBERG                    ,CAPE TOWN                   ',8001,18.42,-33.92,Western Cape                '
5808405,B,CNR STRAND ROAD             ,ELSIE DU TOIT DRIVE         ,STELLENBOSCH                ',7600,18.85,-33.93,Western Cape                '
5808480,B,UNKNOWN                     ,CAPE TOWN                   ,CAPE TOWN                   ',7708,18.42,-33.92,Western Cape                '
5808537,B,LOUWTJIE ROTHMAN STREET     ,GOODWOOD                    ,GOODWOOD                    ',7460,18.55,-33.91,Western Cape                '
5808669,B,CNR RACECOURSE & KOREBERG RO,MILNERTON                   ,MILNERTON                   ',7441,18.51,-33.84,Western Cape                '
5808715,B,CNR MAIN & MAYNARD ROADS    ,WYNBERG                     ,PLUMSTEAD                   ',7800,18.47,-34.02,Western Cape                '
5808766,B,45 WELLINGTON ROAD          ,DURBANVILLE                 ,DURBANVILLE                 ',7550,18.64,-33.83,Western Cape                '
5808790,B,CNR RYK TULBAGH STR & ALHOF ,MOSSEL BAY                  ,MOSSEL BAY                  ',6500,22.13,-34.18,Western Cape                '
5808928,B,185 CHURCH STREET           ,OUDTSHOORN                  ,OUDTSHOORN                  ',6625,22.20,-33.59,Western Cape                '
5808960,B,HUNTER DRIVE                ,HUNTERS ESTATE              ,KNYSNA                      ',6571,23.04,-34.03,Western Cape                '
5808979,B,22 VOORTREKKER STREET       ,VREDENBURG                  ,VREDENBURG                  ',7380,17.99,-32.90,Western Cape                '
5808995,B,21 HOF STREET               ,ORANJEZICHT                 ,MILL STREET                 ',8010,18.41,-33.93,Western Cape                '
5809010,B,1 HUMBOLDT ST               ,EERSTE RIVER                ,EERSTE RIVER                ',7100,18.72,-34.01,Western Cape                '
584509,B,ERF 19261 GARDNER WILLIAMS A,PAARDEVLEI ESTATE           ,SOMERSET WEST               ',7130,18.85,-34.08,Western Cape                '
633208,A,HENNIE WINTERBACH & ROTH   ,PANORAMA                    ,PANORAMA                    ',7500,18.57,-33.87,Western Cape                '
671622,A,HENNIE WINTERBACH & ROTH   ,PANORAMA                    ,PANORAMA                    ',7550,18.57,-33.87,Western Cape                '
71730,B,D18 NEW MAIN BUILDING L BLOC' ,GROOTE SCHUUR               ,MOWBRAY                     ',7705,18.46,-33.95,Western Cape                '
88978,B,33 VAN RIEBEECK ROAD        ,KUILS RIVER                 ,KUILS RIVER                   ',7579,18.69,-33.92,Western Cape                '
98949,Gov,EERSTE RIVER HOSPITAL       ,HUMBOLT AVE                 ,EERSTE RIVER                 ',7100,18.72,-34.01,Western Cape                '
99031,Gov,32 PRINCE STREET            ,NULL                        ,CAPE TOWN                     ',8001,18.42,-33.92,Western Cape                '
