x_dd,y_dd
-33.591998,26.902508
-33.405451,27.117111
-33.295191,26.537373
-33.30602,26.544148
-33.315442,26.536631
-28.074673,26.888567
-33.298846,26.534439
-32.304707,24.545616
-33.278132,26.526689
-33.307,26.536928
-33.59016,26.883745
-33.601075,26.890158
-33.587454,26.907591
-33.123165,26.932597
-30.567255,28.775388
-33.315769,26.527921
-33.213978,27.146083
-33.195021,27.291153
-33.397502,27.06507
-33.305262,26.532661
-33.298457,26.51051
-33.209699,27.17666
-33.218132,26.456689
-33.530575,27.046765
-33.174316,27.097892
-33.197036,27.113425
-33.109928,27.169957
-33.595543,26.885016
-33.195954,27.115549
-33.614974,26.872469
-33.205297,27.09753
-33.600779,26.880646
-33.27682,26.580749
-33.579105,26.886612
-33.301807,26.533452
